Period_Ending,Reason,Total
2011-06-30,Copyright,2
2011-06-30,Defamation,32
2011-06-30,Government Criticism,1
2011-06-30,Hate Speech,3
2011-06-30,Impersonation,4
2011-06-30,National Security,1
2011-06-30,Other,21
2011-06-30,Privacy and Security,26
2011-06-30,Violence,2
2011-12-31,Adult Content,1
2011-12-31,Copyright,3
2011-12-31,Defamation,58
2011-12-31,Impersonation,6
2011-12-31,National Security,1
2011-12-31,Other,34
2011-12-31,Privacy and Security,58
2011-12-31,Trademark,16
2011-12-31,Violence,10
2012-06-30,Adult Content,2
2012-06-30,Copyright,14
2012-06-30,Defamation,163
2012-06-30,Government Criticism,6
2012-06-30,Impersonation,2
2012-06-30,National Security,2
2012-06-30,Other,30
2012-06-30,Privacy and Security,36
2012-06-30,Trademark,12
2012-06-30,Violence,6
2012-12-31,Bullying/Harassment,8
2012-12-31,Copyright,9
2012-12-31,Defamation,184
2012-12-31,Government Criticism,3
2012-12-31,Impersonation,4
2012-12-31,Obscenity/Nudity,2
2012-12-31,Other,19
2012-12-31,Privacy and Security,55
2012-12-31,Reason Unspecified,7
2012-12-31,Religious Offense,1
2012-12-31,Trademark,24
2012-12-31,Violence,5
2013-06-30,Adult Content,1
2013-06-30,Bullying/Harassment,46
2013-06-30,Copyright,4
2013-06-30,Defamation,340
2013-06-30,Drug Abuse,1
2013-06-30,Impersonation,5
2013-06-30,National Security,2
2013-06-30,Obscenity/Nudity,2
2013-06-30,Other,8
2013-06-30,Privacy and Security,64
2013-06-30,Reason Unspecified,4
2013-06-30,Trademark,60
2013-06-30,Violence,8
2013-12-31,Bullying/Harassment,36
2013-12-31,Copyright,6
2013-12-31,Defamation,328
2013-12-31,Impersonation,9
2013-12-31,Other,8
2013-12-31,Privacy and Security,69
2013-12-31,Reason Unspecified,2
2013-12-31,Trademark,22
2013-12-31,Violence,1
2014-06-30,Bullying/Harassment,28
2014-06-30,Copyright,13
2014-06-30,Defamation,362
2014-06-30,Government Criticism,3
2014-06-30,Impersonation,5
2014-06-30,Obscenity/Nudity,2
2014-06-30,Other,30
2014-06-30,Privacy and Security,54
2014-06-30,Reason Unspecified,4
2014-06-30,Trademark,24
2014-12-31,Adult Content,2
2014-12-31,Bullying/Harassment,12
2014-12-31,Copyright,6
2014-12-31,Defamation,297
2014-12-31,Impersonation,2
2014-12-31,Other,47
2014-12-31,Privacy and Security,19
2014-12-31,Reason Unspecified,3
2014-12-31,Trademark,16
2014-12-31,Violence,1
2015-06-30,Bullying/Harassment,10
2015-06-30,Copyright,8
2015-06-30,Defamation,181
2015-06-30,Impersonation,2
2015-06-30,Other,52
2015-06-30,Privacy and Security,18
2015-06-30,Reason Unspecified,6
2015-06-30,Suicide Promotion,1
2015-06-30,Trademark,8
2015-12-31,Bullying/Harassment,7
2015-12-31,Copyright,10
2015-12-31,Defamation,316
2015-12-31,Fraud,2
2015-12-31,Impersonation,3
2015-12-31,Obscenity/Nudity,3
2015-12-31,Other,78
2015-12-31,Privacy and Security,45
2015-12-31,Reason Unspecified,6
2015-12-31,Trademark,10
2016-06-30,Bullying/Harassment,14
2016-06-30,Copyright,18
2016-06-30,Defamation,437
2016-06-30,Drug Abuse,1
2016-06-30,Fraud,56
2016-06-30,Geographical Dispute,1
2016-06-30,Obscenity/Nudity,1
2016-06-30,Other,15
2016-06-30,Privacy and Security,20
2016-06-30,Reason Unspecified,1
2016-06-30,Trademark,20
2016-06-30,Violence,6
2016-12-31,Bullying/Harassment,29
2016-12-31,Business Complaints,2
2016-12-31,Copyright,4
2016-12-31,Defamation,423
2016-12-31,Fraud,123
2016-12-31,Government Criticism,1
2016-12-31,Impersonation,3
2016-12-31,National Security,2
2016-12-31,Other,11
2016-12-31,Privacy and Security,32
2016-12-31,Reason Unspecified,1
2016-12-31,Suicide Promotion,1
2016-12-31,Trademark,17
2016-12-31,Violence,3
2017-06-30,Adult Content,5
2017-06-30,Bullying/Harassment,53
2017-06-30,Copyright,10
2017-06-30,Defamation,538
2017-06-30,Fraud,163
2017-06-30,Hate Speech,1
2017-06-30,Impersonation,3
2017-06-30,Obscenity/Nudity,7
2017-06-30,Other,4
2017-06-30,Privacy and Security,18
2017-06-30,Reason Unspecified,6
2017-06-30,Trademark,22
2017-06-30,Violence,1
2017-12-31,Bullying/Harassment,104
2017-12-31,Business Complaints,4
2017-12-31,Copyright,28
2017-12-31,Defamation,405
2017-12-31,Drug Abuse,1
2017-12-31,Fraud,348
2017-12-31,Geographical Dispute,2
2017-12-31,Impersonation,2
2017-12-31,National Security,3
2017-12-31,Obscenity/Nudity,3
2017-12-31,Other,1
2017-12-31,Privacy and Security,47
2017-12-31,Reason Unspecified,5
2017-12-31,Regulated Goods and Services,4
2017-12-31,Suicide Promotion,1
2017-12-31,Trademark,28
2017-12-31,Violence,2
2018-06-30,Adult Content,1
2018-06-30,Bullying/Harassment,59
2018-06-30,Copyright,19
2018-06-30,Defamation,658
2018-06-30,Fraud,153
2018-06-30,Impersonation,2
2018-06-30,National Security,2
2018-06-30,Obscenity/Nudity,2
2018-06-30,Other,3
2018-06-30,Privacy and Security,29
2018-06-30,Reason Unspecified,6
2018-06-30,Regulated Goods and Services,22
2018-06-30,Trademark,45
2018-06-30,Violence,1
2018-12-31,Adult Content,2
2018-12-31,Bullying/Harassment,123
2018-12-31,Business Complaints,2
2018-12-31,Copyright,21
2018-12-31,Defamation,269
2018-12-31,Fraud,13
2018-12-31,Hate Speech,1
2018-12-31,Impersonation,1
2018-12-31,Obscenity/Nudity,3
2018-12-31,Other,8
2018-12-31,Privacy and Security,27
2018-12-31,Reason Unspecified,3
2018-12-31,Regulated Goods and Services,21
2018-12-31,Suicide Promotion,1
2018-12-31,Trademark,23
2018-12-31,Violence,3
2019-06-30,Adult Content,1
2019-06-30,Bullying/Harassment,67
2019-06-30,Business Complaints,1
2019-06-30,Copyright,9
2019-06-30,Defamation,205
2019-06-30,Fraud,50
2019-06-30,Government Criticism,1
2019-06-30,Impersonation,2
2019-06-30,National Security,1
2019-06-30,Obscenity/Nudity,6
2019-06-30,Other,9
2019-06-30,Privacy and Security,27
2019-06-30,Reason Unspecified,17
2019-06-30,Regulated Goods and Services,3
2019-06-30,Trademark,44
2019-06-30,Violence,3
2019-12-31,Bullying/Harassment,50
2019-12-31,Business Complaints,1
2019-12-31,Copyright,6
2019-12-31,Defamation,196
2019-12-31,Fraud,22
2019-12-31,Obscenity/Nudity,1
2019-12-31,Other,5
2019-12-31,Privacy and Security,21
2019-12-31,Reason Unspecified,5
2019-12-31,Regulated Goods and Services,10
2019-12-31,Suicide Promotion,1
2019-12-31,Trademark,84
2019-12-31,Violence,4
2020-06-30,Bullying/Harassment,30
2020-06-30,Business Complaints,3
2020-06-30,Copyright,7
2020-06-30,Defamation,251
2020-06-30,Fraud,5
2020-06-30,Impersonation,1
2020-06-30,National Security,1
2020-06-30,Other,9
2020-06-30,Privacy and Security,20
2020-06-30,Regulated Goods and Services,8
2020-06-30,Trademark,28
2020-12-31,Adult Content,1
2020-12-31,Bullying/Harassment,29
2020-12-31,Business Complaints,7
2020-12-31,Copyright,10
2020-12-31,Defamation,150
2020-12-31,National Security,2
2020-12-31,Obscenity/Nudity,1
2020-12-31,Other,4
2020-12-31,Privacy and Security,15
2020-12-31,Regulated Goods and Services,6
2020-12-31,Trademark,8
2021-06-30,Adult Content,5
2021-06-30,Bullying/Harassment,17
2021-06-30,Copyright,16
2021-06-30,Defamation,183
2021-06-30,Hate Speech,1
2021-06-30,Impersonation,5
2021-06-30,National Security,1
2021-06-30,Obscenity/Nudity,2
2021-06-30,Other,17
2021-06-30,Privacy and Security,50
2021-06-30,Reason Unspecified,1
2021-06-30,Regulated Goods and Services,3
2021-06-30,Trademark,100
2021-06-30,Violence,3
2021-12-31,Adult Content,2
2021-12-31,Bullying/Harassment,30
2021-12-31,Business Complaints,3
2021-12-31,Copyright,7
2021-12-31,Defamation,149
2021-12-31,Fraud,11
2021-12-31,Impersonation,3
2021-12-31,National Security,1
2021-12-31,Other,28
2021-12-31,Privacy and Security,39
2021-12-31,Reason Unspecified,3
2021-12-31,Regulated Goods and Services,8
2021-12-31,Trademark,27
2021-12-31,Violence,2
2022-06-30,Adult Content,3
2022-06-30,Bullying/Harassment,23
2022-06-30,Business Complaints,1
2022-06-30,Copyright,8
2022-06-30,Defamation,146
2022-06-30,Fraud,4
2022-06-30,Government Criticism,3
2022-06-30,Hate Speech,1
2022-06-30,Impersonation,1
2022-06-30,National Security,3
2022-06-30,Other,46
2022-06-30,Privacy and Security,49
2022-06-30,Reason Unspecified,5
2022-06-30,Regulated Goods and Services,3
2022-06-30,Religious Offense,1
2022-06-30,Trademark,24
2022-06-30,Violence,7
2022-12-31,Adult Content,2
2022-12-31,Bullying/Harassment,5
2022-12-31,Business Complaints,1
2022-12-31,Copyright,9
2022-12-31,Defamation,48
2022-12-31,Electoral Law,1
2022-12-31,Fraud,7
2022-12-31,Impersonation,14
2022-12-31,National Security,3
2022-12-31,Obscenity/Nudity,8
2022-12-31,Other,24
2022-12-31,Privacy and Security,45
2022-12-31,Reason Unspecified,1
2022-12-31,Trademark,47
2022-12-31,Violence,1
2023-06-30,Adult Content,1
2023-06-30,Bullying/Harassment,39
2023-06-30,Business Complaints,1
2023-06-30,Copyright,16
2023-06-30,Defamation,104
2023-06-30,Fraud,20
2023-06-30,Impersonation,1
2023-06-30,Obscenity/Nudity,5
2023-06-30,Other,81
2023-06-30,Privacy and Security,73
2023-06-30,Reason Unspecified,1
2023-06-30,Regulated Goods and Services,3
2023-06-30,Suicide Promotion,1
2023-06-30,Trademark,12
2023-06-30,Violence,1
2023-12-31,Adult Content,4
2023-12-31,Bullying/Harassment,34
2023-12-31,Business Complaints,1
2023-12-31,Copyright,27
2023-12-31,Defamation,119
2023-12-31,Drug Abuse,1
2023-12-31,Fraud,7
2023-12-31,Geographical Dispute,1
2023-12-31,Government Criticism,1
2023-12-31,Impersonation,2
2023-12-31,National Security,1
2023-12-31,Obscenity/Nudity,6
2023-12-31,Other,38
2023-12-31,Privacy and Security,104
2023-12-31,Reason Unspecified,1
2023-12-31,Trademark,80
2023-12-31,Violence,2
2024-06-30,Adult Content,1
2024-06-30,Bullying/Harassment,41
2024-06-30,Copyright,25
2024-06-30,Defamation,82
2024-06-30,Drug Abuse,1
2024-06-30,Fraud,4
2024-06-30,Impersonation,2
2024-06-30,National Security,5
2024-06-30,Obscenity/Nudity,11
2024-06-30,Other,11
2024-06-30,Privacy and Security,203
2024-06-30,Reason Unspecified,6
2024-06-30,Regulated Goods and Services,7
2024-06-30,Trademark,76
2024-12-31,Adult Content,1
2024-12-31,Bullying/Harassment,17
2024-12-31,Copyright,11
2024-12-31,Defamation,50
2024-12-31,Drug Abuse,4
2024-12-31,Fraud,5
2024-12-31,National Security,1
2024-12-31,Other,20
2024-12-31,Privacy and Security,38
2024-12-31,Regulated Goods and Services,1
2024-12-31,Trademark,36
2024-12-31,Violence,1
2025-06-30,Adult Content,1
2025-06-30,Bullying/Harassment,48
2025-06-30,Copyright,3
2025-06-30,Defamation,57
2025-06-30,Fraud,12
2025-06-30,Government Criticism,1
2025-06-30,Impersonation,1
2025-06-30,Other,27
2025-06-30,Privacy and Security,45
2025-06-30,Regulated Goods and Services,2
2025-06-30,Suicide Promotion,1
2025-06-30,Trademark,30
